name@version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL
accessors-smart-1.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
activation-1.1.jar,"CDDL-1.0",-,-,-,Java,-,-,-
android-json-0.0.20131108.vaadin1.jar,"Apache-2.0",-,-,-,Java,-,-,-
ant-1.10.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
ant-nodeps-1.8.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
asm-5.2.jar,"BSD",-,-,-,Java,-,-,-
assertj-core-2.6.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
bcprov-jdk15on-1.54.jar,"BouncyCastle License",-,-,-,Java,-,-,-
classmate-1.3.4.jar,"Apache-2.0",-,-,-,Java,-,-,-
classworlds-1.1-alpha-2.jar,"CPL-1.0",-,-,-,Java,-,-,-
commons-codec-1.10.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-collections-3.2.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-lang3-3.5.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-text-1.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
cryptacular-1.1.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
cxf-core-3.2.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
ehcache-2.10.5.jar: sizeof-agent.jar,"Apache-2.0",-,-,-,Java,-,-,-
ehcache-2.10.5.jar,"Apache-2.0",-,-,-,Java,-,-,-
geronimo-javamail_1.4_mail-1.8.4.jar,"Apache-2.0",-,-,-,Java,-,-,-
guava-19.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
hamcrest-core-1.3.jar,"BSD-3-Clause",-,-,-,Java,-,-,-
hamcrest-library-1.3.jar,"BSD-3-Clause",-,-,-,Java,-,-,-
hibernate-validator-5.3.6.Final.jar,"Apache-2.0",-,-,-,Java,-,-,-
httpclient-4.5.8.jar,"Apache-2.0",-,-,-,Java,-,-,-
httpcore-4.4.11.jar,"Apache-2.0",-,-,-,Java,-,-,-
jackson-annotations-2.8.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
jackson-core-2.8.11.jar,"Apache-2.0",-,-,-,Java,-,-,-
jackson-databind-2.8.11.3.jar,"Apache-2.0",-,-,-,Java,-,-,-
jasypt-1.9.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
java-support-7.3.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
javax.xml.soap-api-1.3.8.jar,"CDDL-1.1;GPL-2.0 w/CPE",-,-,-,Java,-,-,-
